DATE,PERIOD,VERSION,SUBSIDIARY,ACCOUNT_NUM,LOCATION,DEPARTMENT,COST_CENTER,AMOUNT,QUANTITY,MEMO,STATUS
,202405,Budget FY2024,PPACANADA,60000,,Ops,Ops,117608,,,
,202405,Budget FY2024,PPACANADA,60500,,Ops,Ops,5358,,,
,202405,Budget FY2024,PPACANADA,60600,,Ops,Ops,9010,,,
,202405,Budget FY2024,PPACANADA,63800,,Ops,Ops,5100,,,
,202405,Budget FY2024,PPACANADA,65000,,Ops,Ops,6000,,,
,202405,Budget FY2024,PPACANADA,68700,,Ops,Ops,1500,,,
,202405,Budget FY2024,PPACANADA,68800,,Ops,Ops,10500,,,
,202406,Budget FY2024,PPACANADA,57500,,Ops,Ops,150,,,
,202406,Budget FY2024,PPACANADA,59000,,Ops,Ops,27300,,,
,202406,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
,202406,Budget FY2024,PPACANADA,60000,,Ops,Ops,117608,,,
,202406,Budget FY2024,PPACANADA,60500,,Ops,Ops,5358,,,
,202406,Budget FY2024,PPACANADA,60600,,Ops,Ops,9010,,,
,202406,Budget FY2024,PPACANADA,63800,,Ops,Ops,4500,,,
,202406,Budget FY2024,PPACANADA,65000,,Ops,Ops,500,,,
,202406,Budget FY2024,PPACANADA,68700,,Ops,Ops,1500,,,
,202406,Budget FY2024,PPACANADA,68800,,Ops,Ops,11000,,,
,202407,Budget FY2024,PPACANADA,57500,,Ops,Ops,150,,,
,202407,Budget FY2024,PPACANADA,59000,,Ops,Ops,14200,,,
,202407,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
,202407,Budget FY2024,PPACANADA,60000,,Ops,Ops,121983,,,
,202407,Budget FY2024,PPACANADA,60500,,Ops,Ops,5557,,,
,202407,Budget FY2024,PPACANADA,60600,,Ops,Ops,9345,,,
,202407,Budget FY2024,PPACANADA,63800,,Ops,Ops,2800,,,
,202407,Budget FY2024,PPACANADA,65000,,Ops,Ops,20000,,,
,202407,Budget FY2024,PPACANADA,68700,,Ops,Ops,4000,,,
,202407,Budget FY2024,PPACANADA,68800,,Ops,Ops,10500,,,
,202408,Budget FY2024,PPACANADA,57500,,Ops,Ops,1832.5,,,
,202408,Budget FY2024,PPACANADA,59000,,Ops,Ops,19000,,,
,202408,Budget FY2024,PPACANADA,59001,,Ops,Ops,40000,,,
